book,vote,head_code,head_title,project_code,project_title,row_type,item_code,item_title,approved_estimates_2025_2026,estimates_2026_2027,grants_aia_2026_2027,grants_revenue_2026_2027,loans_aia_2026_2027,loans_revenue_2026_2027,page,verified
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101000,General Works at the Harambee House Main.,1011101001,Refurbishment of Buildings at Harambee House Main,exp,3110300,Refurbishment of Buildings,30000000,26200000,0,0,0,0,24,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101100,National Fund for the Disabled of Kenya.,1011101101,Capital Transfers to the National Fund for the Disabled of Kenya,exp,2640500,Other Capital Grants and Transfers,450000000,550000000,0,0,0,0,24,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2110200,Basic Wages - Temporary Employees,24086322,24086322,0,24086322,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210100,Utilities Supplies and Services,1245000,1245000,0,1245000,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210200,"Communication, Supplies and Services",17889675,17889675,0,17889675,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210300,"Domestic Travel and Subsistence, and Other Transportation Costs",48287946,48287946,0,48287946,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210500,"Printing , Advertising and Information Supplies and Services",11667567,11667567,0,11667567,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210600,Rentals of Produced Assets,5645628,5645628,0,5645628,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210700,Training Expenses,8689642,8689642,0,8689642,0,0,25,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,1011101600,Kenya - EU Partnership on National Strategy to Counter,1011101601,Kenya - EU Partnership on National Strategy to Counter,exp,2210800,Hospitality Supplies and Services,33521530,33521530,0,33521530,0,0,25,yes
