book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,head,1011101000,General Works at the Harambee House Main,30000000,26200000,0,26200000,50000000,50000000,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,head,1011101100,National Fund for the Disabled of Kenya,450000000,550000000,0,550000000,566341522,663539848,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,head,1011101600,Kenya - EU Partnership on National Strategy to Counter Terrorism,185000000,185000000,0,185000000,185000000,185000000,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,head,1011101800,Directorate of Resource Survey and Remote Sensing,69004100,50000000,0,50000000,56033478,58835152,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,head,1011104100,Modernization of Press & Refurbishment of Buildings at GP,300000000,500000000,0,500000000,527625000,527625000,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,head,1011104200,Nairobi Metropolitan Services (NMS) - Pending Bills,310005000,0,0,0,0,0,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1011,Executive Office of the President,vote_total,,TOTAL FOR VOTE,1344009100,1311200000,0,1311200000,1385000000,1485000000,21,yes
fy-2026-27-development-book-volume-1-1011-1083,1012,Office of the Deputy President,head,1012100100,General Works at the Office of the Deputy President,100000000,100000000,0,100000000,300000000,350000000,28,yes
fy-2026-27-development-book-volume-1-1011-1083,1012,Office of the Deputy President,vote_total,,TOTAL FOR VOTE,100000000,100000000,0,100000000,300000000,350000000,28,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100100,General Maintenance Works at State House Nairobi,680706667,530400000,0,530400000,535700000,497100000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100200,General Maintenance Works at Eldoret State Lodge,460150000,40000000,0,40000000,106200000,96400000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100300,General Maintenance Works at State House Sagana,15000000,21300000,0,21300000,69300000,54200000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100400,Refurbishment of buildings at Mombasa State House,42500000,201100000,0,201100000,216800000,312100000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100500,Refurbishment of buildings at Nakuru State House,25000000,98700000,0,98700000,123300000,161600000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100600,Rehabilitation Works at Kisumu State Lodge,24050000,90000000,0,90000000,18400000,10500000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017100700,Rehabilitation Works at Kakamega State Lodge,25000000,20000000,0,20000000,46200000,37100000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017101100,The Mechanical Garage,10000000,12900000,0,12900000,32200000,26900000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,head,1017101200,Kisii State Lodge,12500000,12600000,0,12600000,56400000,54100000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1017,State House,vote_total,,TOTAL FOR VOTE,1294906667,1027000000,0,1027000000,1204500000,1250000000,31,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023100100,Security in Penal Facilities,33067056,111000000,0,111000000,167517736,23163310,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023100200,Construction of Penal Facilities - I,9570000,70502486,0,70502486,82107514,50000000,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023100300,Irrigation and Modernization of Prison Farms,0,5000000,0,5000000,5500000,0,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023100500,Prison Staff Housing,13955000,16250000,0,16250000,0,0,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023100700,Modernization of Penal Training Facilities,1000000,0,0,0,368876029,1273669864,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023100900,Probation Office accomodation,0,56030950,0,56030950,206199525,165036360,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101000,Acquisition of ICT applications and infrastructure set up,16000000,100000000,0,100000000,100000000,91326361,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101200,Security in Penal Institutions,2565000,111512500,0,111512500,172070000,137000000,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101300,Construction of Penal Facilities III,10440000,67498000,0,67498000,198070000,51689000,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101400,Revitalisation of Prison Farms,1500000,7500000,0,7500000,423184707,120080000,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101500,Modernization of Prisons Industries-BETA 20,6650000,10700000,0,10700000,40300000,0,40,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101600,Complete Construction of Staff Houses,32015000,32500000,0,32500000,200365240,118150000,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101800,Aquisition of Prisons ICT & Telecommuniction infrustructure,5776788,40000000,0,40000000,150000000,189494264,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023101900,Modernisation of Prison staff training facilities,0,0,0,0,0,63000000,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023102000,Probation Hostels,46601826,20460000,0,20460000,32483198,19667415,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023102100,Construction of Probation Office Blocks,28111263,57359050,0,57359050,17100000,11000000,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023102800,Security In Penal Institutions - Continued,29836156,31958014,0,31958014,58490000,0,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023102900,Completion Stalled Projects,31945000,22920000,0,22920000,0,0,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103000,Maximum Security Level Facility,0,0,0,0,246661097,1947923426,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103200,Refurbishment of KIbera Probation Office,0,5920000,0,5920000,0,0,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103300,"Perimeter Wall,Watch Towers & Gate Lodge",0,0,0,0,44120000,27500000,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103400,Prisoners Wards,780000,1000000,0,1000000,0,0,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103500,Administration Blocks 21,0,0,0,0,26300000,0,41,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103600,Borehole/Water Supply System/ Sewerage,4000000,0,0,0,33034954,0,42,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023103700,Kitchens,0,0,0,0,14000000,0,42,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023104000,Construction of Magereza Level 4 Referral Hospital-BETA,40000000,224380000,0,224380000,226620000,0,42,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023104200,Emergency Flood Mitigation for Prisons,5191421,29909000,0,29909000,0,0,42,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,head,1023104400,Construction of Penal Facilities V,10000000,0,0,0,0,0,42,yes
fy-2026-27-development-book-volume-1-1011-1083,1023,State Department for Correctional Services,vote_total,,TOTAL FOR VOTE,329004510,1022400000,0,1022400000,2813000000,4288700000,42,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024100300,Maintenance & Roll-Out of Civil Registration & Vital Statistics Syst,15000000,25090000,9160000,15930000,24160000,29160000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024100500,Completion of Construction of Civil Registration Services Registries,15000000,35000000,20000000,15000000,40000000,41000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024100900,Electronic ID (3RD GEN),0,2336000000,1806000000,530000000,1836000000,1836000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024101000,Supplies for ID cards materials-BETA,420000000,1530000000,1530000000,0,776870000,959000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024101100,Construction of National Registration Registries,30000000,80000000,80000000,0,80000000,80000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024101200,IPRS Upgrade and Roll-out-BETA,80000000,310000000,210000000,100000000,310000000,335000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024101700,Maintenance and refurbishment of office accommodation at Nyayo House,0,300000000,300000000,0,315000000,335000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024102000,Supplies for Passport Production,47550000,595050000,547500000,47550000,595050000,667490000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024102200,Construction of border points,0,100000000,100000000,0,100000000,100000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024102400,"Maintenance of passport system (both Hardware, software and licenses",0,250000000,250000000,0,250000000,250000000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024102800,Purchase of e-Passport books 75,1036524845,2036520000,1000000000,1036520000,2036520000,2036520000,95,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024103200,Digitization of Immigration Records,0,207000000,207000000,0,207000000,207000000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024103300,e-Citizen Services-BETA,700000000,3227500000,3227500000,0,3227500000,3227500000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024103400,Unique Personal Identifier Project-BETA,5000000,383840000,333840000,50000000,383840000,396350000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024103500,Provision of Facial Recognition & Behaviour Detection Solution-BETA,5000000,5000000,0,5000000,5000000,5000000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024103600,Improvement of Civil Registration System-BETA,16200000,16000000,0,16000000,16000000,16000000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,head,1024103700,ETA Services,0,1020000000,1020000000,0,1020000000,1020000000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1024,State Department for Immigration and Citizen Services,vote_total,,TOTAL FOR VOTE,2370274845,12457000000,10641000000,1816000000,11222940000,11541020000,96,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100100,Police Modernization Programme-BETA,265611912,1307794030,0,1307794030,1136334204,1381105999,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100200,Constructions Police stations and Police Housing for the Kenya Police,45895260,106855970,0,106855970,190197804,106102063,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100300,Construction of Police stations & Housing for Administration Police,49380000,10000000,0,10000000,91157992,105201938,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100400,Construction & Modernization of national Forensic Facilities-BETA,650000000,1332000000,500000000,832000000,1082000000,1139131190,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100500,Constructions Police stations and Police Housing for the DCI,10000000,40000000,0,40000000,46100000,58578810,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100600,"Construction of Police stations, Housing & other facilities for GSU",17247750,17250000,0,17250000,653780000,856480000,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025100900,Public Participation Projects,36000000,0,0,0,0,0,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025101100,Commissioning of Subdistribution Board & Relocation of the LV Board,0,0,0,0,9000000,0,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025101400,Kenanie EPZ - Police Post,18680000,0,0,0,0,0,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,head,1025101600,Construction of Police Posts and Stations,120000000,0,0,0,0,0,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1025,National Police Service,vote_total,,TOTAL FOR VOTE,1212814922,2813900000,500000000,2313900000,3208570000,3646600000,112,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026100900,"Construction of Regional, County and Sub County offices",112700000,346176288,0,346176288,456330000,530915351,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026101000,Refurbishment of Sub County Offices,80777277,406417257,0,406417257,600000000,738226914,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026101100,Construction Of Newly Gazetted Sub County Headqs & Other New P,54800000,37134592,0,37134592,0,69899440,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026103900,National Government Administration,0,0,0,0,76000000,40000000,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026104200,Construction & Refurbishment of County Commissioners Premises,3500000,0,0,0,0,0,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026106000,Expansion & refurbishment of Govt. chemist labs in Nbi and Mombasa,33000000,40000000,0,40000000,75000000,87147373,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026106300,Kenya Coast Guard Services-BETA,80000000,100000000,0,100000000,100000000,100000000,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026106500,Cyber Crime,0,0,0,0,125000000,112852627,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026107300,Construction of Miritini Treatment and Rehabilitation Center-BETA,65000000,80000000,0,80000000,200000000,200000000,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026108700,Construction of NGA Offices,10000000,20030000,0,20030000,210000000,321521727,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026108800,Construction of the Newly Gazetted Sub County Headquarters 107,0,30000000,0,30000000,0,72166568,127,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026108900,Refurbishment of Sub County Field Administration Offices,20000000,40000000,0,40000000,50000000,100000000,128,yes
fy-2026-27-development-book-volume-1-1011-1083,1026,State Department for Internal Security & National Administration,head,1026109300,Construction and Operationalization of Sub-county Offices,40000000,0,0,0,30000000,0,128,yes
