book,vote,head_code,head_title,project_code,project_title,row_type,item_code,item_title,approved_estimates_2025_2026,estimates_2026_2027,grants_aia_2026_2027,grants_revenue_2026_2027,loans_aia_2026_2027,loans_revenue_2026_2027,page,verified
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101000,Northern Corridor Transport Improvement Project.,1091101016,Dhohoye Bridge on Kisian - Usenge,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,288373307,108836105,0,0,0,0,327,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101200,Kenya Transport Sector Support Programme.,1091101201,Headquarters,exp,2210700,Training Expenses,11040166,0,0,0,0,0,327,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101200,Kenya Transport Sector Support Programme.,1091101201,Headquarters,exp,3111400,"Research, Feasibility Studies, Project Preparation and Design, Project S",32239959,50000000,0,0,0,0,327,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101200,Kenya Transport Sector Support Programme.,1091101204,KTSSP- Construction of Kisumu Boys - Mambo Leo Road,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,30930108,0,0,0,0,0,327,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101200,Kenya Transport Sector Support Programme.,1091101207,KTSSP- Dualling Athi River - Machakos Turnoff Road,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,22565217,274957197,0,0,0,0,328,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101300,National Urban Transport Improvement Project (NUTRIP).,1091101301,Headquarters,exp,2210700,Training Expenses,11040166,0,0,0,0,0,328,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101300,National Urban Transport Improvement Project (NUTRIP).,1091101301,Headquarters,exp,3111400,"Research, Feasibility Studies, Project Preparation and Design, Project S",28959834,40000000,0,0,0,0,328,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101300,National Urban Transport Improvement Project (NUTRIP).,1091101306,NUTRIP- James Gichuru junction - Rironi (Uhuru Highway) (26,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,245225782,872791287,0,0,0,0,328,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101401,Headquarters,exp,2210700,Training Expenses,11040166,0,0,0,0,0,329,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101401,Headquarters,exp,2211300,Other Operating Expenses,41500000,0,0,0,0,0,329,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101401,Headquarters,exp,3110500,Construction and Civil Works,32500000,0,0,0,0,0,329,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101401,Headquarters,exp,3111400,"Research, Feasibility Studies, Project Preparation and Design, Project S",38959834,40000000,0,0,0,0,329,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101406,SS-EARTTDFP- Upgrade of Kalobeiyei River--Nadapal (88 km),exp,2630200,Capital Grants to Government Agencies and other Levels of Government,19524616,0,0,0,0,0,329,yes
