book,vote,vote_title,head_code,head_title,subhead_code,subhead_title,item_code,item_title,item_kind,approved_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101000,Northern Corridor Transport Improvement Project,1091101016,Dhohoye Bridge on Kisian - Usenge,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,288373307,108836105,308373307,388056887,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101200,Kenya Transport Sector Support Programme,1091101201,Headquarters,2210700,Training Expenses,exp,11040166,0,30000000,30000000,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101200,Kenya Transport Sector Support Programme,1091101201,Headquarters,3111400,"Research, Feasibility Studies, Project Preparation and Design, Project S",exp,32239959,50000000,30000000,30000000,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101200,Kenya Transport Sector Support Programme,1091101204,KTSSP- Construction of Kisumu Boys - Mambo Leo Road,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,30930108,0,0,0,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101200,Kenya Transport Sector Support Programme,1091101207,KTSSP- Dualling Athi River - Machakos Turnoff Road,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,22565217,274957197,98605569,124085221,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101300,National Urban Transport Improvement Project (NUTRIP),1091101301,Headquarters,2210700,Training Expenses,exp,11040166,0,30000000,30000000,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101300,National Urban Transport Improvement Project (NUTRIP),1091101301,Headquarters,3111400,"Research, Feasibility Studies, Project Preparation and Design, Project S",exp,28959834,40000000,30000000,30000000,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101300,National Urban Transport Improvement Project (NUTRIP),1091101306,NUTRIP- James Gichuru junction - Rironi (Uhuru Highway) (26 km),2630200,Capital Grants to Government Agencies and other Levels of Government,exp,245225782,872791287,417019454,811229367,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101401,Headquarters,2210700,Training Expenses,exp,11040166,0,30000000,30000000,45,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,1091101400,"South Sudan Eastern Africa Transport,Trade & Development",1091101401,Headquarters,2211300,Other Operating Expenses,exp,41500000,0,0,0,46,yes
