book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091101000,Northern Corridor Transport Improvement Project,288373307,108836105,0,108836105,308373307,388056887,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091101200,Kenya Transport Sector Support Programme,96775450,324957197,0,324957197,158605569,184085221,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091101300,National Urban Transport Improvement Project (NUTRIP),285225782,912791287,0,912791287,477019454,871229367,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091101400,"South Sudan Eastern Africa Transport,Trade & Development Facilitation",201805506,40000000,0,40000000,60000000,60000000,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091102000,Support to Road Sector: Capacity Building Component,40000000,90000000,0,90000000,60000000,60000000,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091102600,Mombasa Mariakani Highway Project,940577757,3693576235,2080000000,1613576235,2130077757,0,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091102900,Naro Moru - Munyu - Karisheni,0,123440773,0,123440773,114798152,130869893,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091104700,Muranga - Gitugi,0,74065624,0,74065624,37032812,0,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091106100,Limo Hospital-Illula-Elgeyo Border-Kapkoi (D296),15189561,3204779,0,3204779,21417837,0,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091106700,Gatura - Ngere - Karangi,77778981,18888950,0,18888950,77778981,0,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091107000,Baricho Bridge 615,188034276,130806099,0,130806099,0,0,21,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091111100,Rumuruti - Mararal Road (phase I),0,150000000,0,150000000,18261350,22980078,22,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091114500,Kibwezi - Mutomo - Kitui Road (B7),0,295087872,0,295087872,0,0,22,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091114700,Thika - Magumu Road,13635778,25682054,0,25682054,103635778,130415236,22,yes
fy-2026-27-development-book-volume-ii-1091-1097,1091,State Department for Roads,head,1091115400,Isebania - Mukuyu - Kisii - Ahero Road (A1) Lot 1 & 2,96469864,395000000,375000000,20000000,0,0,22,yes
