book,vote,head_code,head_title,project_code,project_title,row_type,item_code,item_title,approved_estimates_2025_2026,estimates_2026_2027,grants_aia_2026_2027,grants_revenue_2026_2027,loans_aia_2026_2027,loans_revenue_2026_2027,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100200,Small Holder Irrigation Programme.,1104100202,Smallholder Irrigation Programme Mt. Kenya Region Phase IV,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,267000000,108000000,0,0,95000000,0,62,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100200,Small Holder Irrigation Programme.,1104100202,Smallholder Irrigation Programme Mt. Kenya Region Phase IV,financing,5120200,Foreign Borrowing - Direct Payments,250000000,95000000,0,0,0,0,62,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100400,Bura Irrigation Scheme.,1104100401,Headquarters,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,150000000,450000000,0,0,150000000,0,62,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100400,Bura Irrigation Scheme.,1104100401,Headquarters,financing,5120200,Foreign Borrowing - Direct Payments,50000000,150000000,0,0,0,0,62,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100500,Land Reclamation (Land Degradation Assessment Program).,1104100501,Land Reclamation (Land Degradation Assessment Program),exp,2630200,Capital Grants to Government Agencies and other Levels of Government,0,20000000,0,0,0,0,63,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100602,Waga Machame Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,40000000,56451778,0,0,0,0,63,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100603,Kaihi Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,60552879,0,0,0,0,0,63,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100604,Laghale Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,11100607,0,0,0,0,0,64,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100605,Nguruman Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,50000000,70000000,0,0,0,0,64,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100606,Baringo Cluster Irrigation Projects,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,20000000,24900000,0,0,0,0,64,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100607,Okundi Dam Irrigation Water Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,50000000,16893415,0,0,0,0,64,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100608,Olerai Irrigation Water Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,55000000,40030844,0,0,0,0,64,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100609,Kibugu Nguviu Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,43772412,0,0,0,0,0,65,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100610,Oloolopon Nkama Irrigation Water Poject,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,35000000,49000000,0,0,0,0,65,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100611,Banita Rongai Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,41367280,0,0,0,0,0,65,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100612,Ruiru Prison Farm Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,20000000,0,0,0,0,0,65,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100613,Anyiko Ujwanga Kathieno Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,20000000,99561317,0,0,0,0,65,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100614,Kanyenyaini Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,8000000,0,0,0,0,0,66,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100615,Mbugiti irrigation project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,45000000,85000000,0,0,0,0,66,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100616,Various Waterpans & Small Dams,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,70000000,10460320,0,0,0,0,66,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100617,Nyamaji Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,30000000,120000000,0,0,0,0,66,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100619,Lari Escarpment Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,100000000,40000000,0,0,0,0,66,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100620,Amboseli Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,35000000,110000000,0,0,0,0,67,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100621,Ndura Magogoni Irrigation Project,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,20000000,0,0,0,0,0,67,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100622,Radat Dam,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,80000000,0,0,0,0,0,67,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100623,Imbirikani Water Pan,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,25000000,0,0,0,0,0,67,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100624,Kima Marwa Water Pan,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,25000000,0,0,0,0,0,67,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100625,Kangonde Kwa Mwangi Water Pan,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,25000000,0,0,0,0,0,68,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,1104100600,Community Based Irrigation Projects.,1104100626,Thokoa Water Pan,exp,2630200,Capital Grants to Government Agencies and other Levels of Government,25000000,0,0,0,0,0,68,yes
