book,vote,vote_title,head_code,head_title,subhead_code,subhead_title,item_code,item_title,item_kind,approved_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100200,Small Holder Irrigation Programme,1104100202,Smallholder Irrigation Programme Mt. Kenya Region Phase IV,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,267000000,108000000,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100200,Small Holder Irrigation Programme,1104100202,Smallholder Irrigation Programme Mt. Kenya Region Phase IV,5120200,Foreign Borrowing - Direct Payments,aia,250000000,95000000,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100400,Bura Irrigation Scheme,1104100401,Headquarters,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,150000000,450000000,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100400,Bura Irrigation Scheme,1104100401,Headquarters,5120200,Foreign Borrowing - Direct Payments,aia,50000000,150000000,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100500,Land Reclamation (Land Degradation Assessment Program),1104100501,Land Reclamation (Land Degradation Assessment Program),2630200,Capital Grants to Government Agencies and other Levels of Government,exp,0,20000000,100000000,200000000,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100602,Waga Machame Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,40000000,56451778,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100603,Kaihi Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,60552879,0,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100604,Laghale Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,11100607,0,0,0,26,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100605,Nguruman Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,50000000,70000000,62417081,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100606,Baringo Cluster Irrigation Projects,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,20000000,24900000,46647719,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100607,Okundi Dam Irrigation Water Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,50000000,16893415,0,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100608,Olerai Irrigation Water Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,55000000,40030844,0,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100609,Kibugu Nguviu Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,43772412,0,0,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100610,Oloolopon Nkama Irrigation Water Poject,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,35000000,49000000,57812032,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100611,Banita Rongai Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,41367280,0,0,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100612,Ruiru Prison Farm Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,20000000,0,0,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100613,Anyiko Ujwanga Kathieno Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,20000000,99561317,100000000,52349754,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100614,Kanyenyaini Irrigation Project,2630200,Capital Grants to Government Agencies and other Levels of Government,exp,8000000,0,0,0,27,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,1104100600,Community Based Irrigation Projects,1104100615,Mbugiti irrigation project,2630200,Capital Grants to Government Agencies and other Levels of Government 1630,exp,45000000,85000000,111174666,0,27,yes
