book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,,programme,,,1082596015,1292237031,1303051472,1327013911,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,,programme,,,1082596015,1292237031,1303051472,1327013911,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,,programme,,,4120724616,3107979470,3164618802,3354683096,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,,programme,,,4120724616,3107979470,3164618802,3354683096,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0703030,Power of Mercy Advisory Services,subprogramme,,programme,,,39101315,189698966,192406788,196257442,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0703060,Counter-Terrorism Advisory Services,subprogramme,,programme,,,635000000,669800000,606800000,630020000,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0703090,Strategic Policy Advisory Services,subprogramme,,programme,,,517240821,601540443,613114962,623898293,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0703100,Public Entities Oversight Services,subprogramme,,programme,,,378591062,398229423,404625193,426398822,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0703000,Government Advisory Services,programme,,programme,,,1569933198,1859268832,1816946943,1876574557,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0770010,Leadership and Coordination Services,subprogramme,,programme,,,1430898768,894331342,929182783,966528436,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0770000,Leadership and Coordination of Government Services,programme,,programme,,,1430898768,894331342,929182783,966528436,39,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,,,vote,,vote_total,,Total Expenditure,8204152597,7153816675,7213800000,7524800000,39,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,0734010,General Administration and Support Services,subprogramme,,programme,,,1081127950,1069813783,1301245341,1381068939,51,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,0734020,Coordination and Supervision,subprogramme,,programme,,,4011626618,2532211693,2456106319,2562304291,51,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,0734060,Government Strategic Priorities and Interventions,subprogramme,,programme,,,74890685,74410685,78948340,82726770,51,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,0734000,Deputy President Services,programme,,programme,,,5167645253,3676436161,3836300000,4026100000,51,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,,,vote,,vote_total,,Total Expenditure,5167645253,3676436161,3836300000,4026100000,51,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,0755040,Administration and Support Services,subprogramme,,programme,,,209830323,434465480,441198064,459718659,59,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,0755050,Coordination and Supervision Services,subprogramme,,programme,,,419110214,405325474,409701936,415581341,59,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,0755000,Government Coordination and Supervision,programme,,programme,,,628940537,839790954,850900000,875300000,59,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,,,vote,,vote_total,,Total Expenditure,628940537,839790954,850900000,875300000,59,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0759010,Parliamentary Liaison Services,subprogramme,,programme,,,67155880,40025211,52096478,53072519,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0759020,Legislative Coordination Services,subprogramme,,programme,,,42513183,42338365,47940311,45800013,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0759000,Parliamentary Liaison and Legislative Affairs,programme,,programme,,,109669063,82363576,100036789,98872532,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0760010,Policy Coordination Services,subprogramme,,programme,,,72522816,51294941,61698311,62878473,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0760020,Policy Advisory Services,subprogramme,,programme,,,28289963,32273713,38083793,39932686,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0760000,Policy Coordination and Strategy,programme,,programme,,,100812779,83568654,99782104,102811159,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0761050,Administrative Services,subprogramme,,programme,,,229054803,195268870,223181107,238216309,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,0761000,"General Administration, Planning and Support Services",programme,,programme,,,229054803,195268870,223181107,238216309,68,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,,,vote,,vote_total,,Total Expenditure,439536645,361201100,423000000,439900000,68,yes
