book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,current,econ,2100000,Compensation to Employees,528669223,435505922,445049433,455909249,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,current,econ,2200000,Use of Goods and Services,241873792,334688709,310121459,322008747,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,current,econ,3100000,Non Financial Assets,12053000,22042400,20255580,21470915,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,capital,econ,3100000,Non Financial Assets,300000000,500000000,527625000,527625000,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,current,current_total,,Current Expenditure,782596015,792237031,775426472,799388911,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,capital,capital_total,,Capital Expenditure,300000000,500000000,527625000,527625000,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603010,Government Printing Services,subprogramme,total,total,,Total Expenditure,1082596015,1292237031,1303051472,1327013911,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,current,econ,2100000,Compensation to Employees,528669223,435505922,445049433,455909249,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,current,econ,2200000,Use of Goods and Services,241873792,334688709,310121459,322008747,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,current,econ,3100000,Non Financial Assets,12053000,22042400,20255580,21470915,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,capital,econ,3100000,Non Financial Assets,300000000,500000000,527625000,527625000,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,current,current_total,,Current Expenditure,782596015,792237031,775426472,799388911,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,capital,capital_total,,Capital Expenditure,300000000,500000000,527625000,527625000,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0603000,Government Printing Services,programme,total,total,,Total Expenditure,1082596015,1292237031,1303051472,1327013911,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,current,econ,2100000,Compensation to Employees,1097825730,1094499588,1137723222,1173396563,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,current,econ,2200000,Use of Goods and Services,1959001346,1363651390,1339507585,1393071232,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,current,econ,3100000,Non Financial Assets,273892540,73628492,71046473,74675453,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,capital,econ,2200000,Use of Goods and Services,50000000,0,0,0,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,capital,econ,2600000,Capital Transfers to Govt. Agencies,450000000,550000000,566341522,663539848,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,capital,econ,3100000,Non Financial Assets,290005000,26200000,50000000,50000000,41,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,current,current_total,,Current Expenditure,3330719616,2531779470,2548277280,2641143248,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,capital,capital_total,,Capital Expenditure,790005000,576200000,616341522,713539848,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701010,General Administration Planning and Support Services,subprogramme,total,total,,Total Expenditure,4120724616,3107979470,3164618802,3354683096,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,current,econ,2100000,Compensation to Employees,1097825730,1094499588,1137723222,1173396563,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,current,econ,2200000,Use of Goods and Services,1959001346,1363651390,1339507585,1393071232,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,current,econ,3100000,Non Financial Assets,273892540,73628492,71046473,74675453,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,capital,econ,2200000,Use of Goods and Services,50000000,0,0,0,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,capital,econ,2600000,Capital Transfers to Govt. Agencies,450000000,550000000,566341522,663539848,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,capital,econ,3100000,Non Financial Assets,290005000,26200000,50000000,50000000,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,current,current_total,,Current Expenditure,3330719616,2531779470,2548277280,2641143248,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,capital,capital_total,,Capital Expenditure,790005000,576200000,616341522,713539848,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0701000,General Administration Planning and Support Services,programme,total,total,,Total Expenditure,4120724616,3107979470,3164618802,3354683096,42,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,0703030,Power of Mercy Advisory Services,subprogramme,current,econ,2100000,Compensation to Employees,0,112000020,113779657,115612684,42,yes
