book,vote,vote_title,head_code,head_title,subhead_code,subhead_title,item_code,item_title,item_kind,approved_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2110100,Basic Salaries - Permanent Employees,exp,552159689,533084860,574441317,599468471,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2110300,Personal Allowance - Paid as Part of Salary,exp,391181915,366480063,360910056,350076604,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2110400,Personal Allowances paid as Reimbursements,exp,21000000,50464565,61247426,84896764,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2120100,Employer Contributions to Compulsory National Social Security Schemes,exp,25977102,28147102,23147102,19163646,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210200,"Communication, Supplies and Services",exp,4801186,4801186,4129020,4376760,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210300,"Domestic Travel and Subsistence, and Other Transportation Costs",exp,21413913,98281930,109815965,110404924,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210400,"Foreign Travel and Subsistence, and other transportation costs",exp,24629767,67703814,80981600,84220496,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210500,"Printing , Advertising and Information Supplies and Services",exp,941331,753065,839545,858117,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210600,Rentals of Produced Assets,exp,162696144,162696144,139918684,148313805,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210700,Training Expenses,exp,5211437,8969150,10481836,10750747,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2210800,Hospitality Supplies and Services,exp,39329579,43463662,47444549,49245032,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2211000,Specialised Materials and Supplies,exp,233700,233700,200982,213041,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2211100,Office and General Supplies and Services,exp,6275140,5020112,5396620,5720417,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2211200,Fuel Oil and Lubricants,exp,11174693,22839754,24957086,27407850,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2211300,Other Operating Expenses,exp,28438600,37274549,31952680,37171903,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2220100,Routine Maintenance - Vehicles and Other Transport Equipment,exp,12516168,24012934,28613904,29130739,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,2220200,Routine Maintenance - Other Assets,exp,3947970,3158376,3395254,3598969,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,3110300,Refurbishment of Buildings,exp,3563490,450792,563490,563490,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,3110700,Purchase of Vehicles and Other Transport Equipment,exp,244000000,44000000,37840000,40110400,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,3111000,Purchase of Office Furniture and General Equipment,exp,2073750,1659000,1783425,1890431,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000101,Headquarters,1420300,Receipts from Administrative Fees and Charges - Collected as AIA,aia,15000000,15000000,15000000,15000000,11,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000102,Aids Control Unit,2210500,"Printing , Advertising and Information Supplies and Services",exp,63750,51000,54825,58115,12,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000102,Aids Control Unit,2210700,Training Expenses,exp,129000,103200,110940,117596,12,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000102,Aids Control Unit,2210800,Hospitality Supplies and Services,exp,210000,168000,180600,191436,12,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000104,Power of Mercy Secretariat,2210200,"Communication, Supplies and Services",exp,429472,0,0,0,12,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,1011000100,Headquarters Administrative Services,1011000104,Power of Mercy Secretariat,2210300,"Domestic Travel and Subsistence, and Other Transportation Costs",exp,1787175,0,0,0,12,yes
