book,row_type,code,title,gross_approved_expenditure_2025_2026,appropriations_in_aid_2025_2026,net_approved_expenditure_2025_2026,gross_estimates_2026_2027,appropriations_in_aid_2026_2027,net_estimates_2026_2027,page,verified
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1011,"Executive Office of the President 6,860,143,497 15,000,000 6,845,143,497 5,842,616,675 15,000,000 5,827,616,675",6860143497,15000000,6845143497,5842616675,15000000,5827616675,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1012,"Office of the Deputy President 5,067,645,253 3,300,000 5,064,345,253 3,576,436,161 3,300,000 3,573,136,161",5067645253,3300000,5064345253,3576436161,3300000,3573136161,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1013,"Office of the Prime Cabinet Secretary 628,940,537 - 628,940,537 839,790,954 - 839,790,954",628940537,0,628940537,839790954,0,839790954,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1014,"State Department for Parliamentary Affairs 439,536,645 - 439,536,645 361,201,100 - 361,201,100",439536645,0,439536645,361201100,0,361201100,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1016,"State Department for Cabinet Affairs 235,174,899 - 235,174,899 269,386,723 - 269,386,723",235174899,0,235174899,269386723,0,269386723,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1017,"State House 16,253,888,246 2,100,000 16,251,788,246 12,616,798,513 2,100,000 12,614,698,513",16253888246,2100000,16251788246,12616798513,2100000,12614698513,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1018,"State Department for National Government Coordination 1,034,416,229 - 1,034,416,229 1,062,305,141 - 1,062,305,141",1034416229,0,1034416229,1062305141,0,1062305141,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1023,"State Department for Correctional Services 38,736,895,333 11,500,000 38,725,395,333 41,696,778,650 11,500,000 41,685,278,650",38736895333,11500000,38725395333,41696778650,11500000,41685278650,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1024,"State Department for Immigration and Citizen Services 14,959,940,334 5,127,421,650 9,832,518,684 13,428,854,462 3,502,400,000 9,926,454,462",14959940334,5127421650,9832518684,13428854462,3502400000,9926454462,1,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,vote,1025,"National Police Service 134,252,959,155 65,927,600 134,187,031,555 144,187,751,328 65,930,000 144,121,821,328",134252959155,65927600,134187031555,144187751328,65930000,144121821328,1,yes
