book,vote,vote_title,head_code,head_title,subhead_code,subhead_title,item_code,item_title,item_kind,approved_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2110100,Basic Salaries - Permanent Employees,exp,101549941,86173247,87902302,90488037,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2110300,Personal Allowance - Paid as Part of Salary,exp,68087579,61220607,62693943,64271692,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210100,Utilities Supplies and Services,exp,12999620,16454000,17050000,18000000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210200,"Communication, Supplies and Services",exp,1031996,1700000,1900000,2500000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210300,"Domestic Travel and Subsistence, and Other Transportation Costs",exp,424939,5637600,8161000,9235000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210500,"Printing , Advertising and Information Supplies and Services",exp,129805,320000,500000,650000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210600,Rentals of Produced Assets,exp,28050560,31200000,34500000,34850000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210700,Training Expenses,exp,279195,280000,600000,750000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2210800,Hospitality Supplies and Services,exp,331139,649600,1017000,1322000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2211100,Office and General Supplies and Services,exp,838047,922400,1440000,1614000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2211200,Fuel Oil and Lubricants,exp,648536,1000000,1700000,2100000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2211300,Other Operating Expenses,exp,20350000,21514567,24000000,26000000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2220100,Routine Maintenance - Vehicles and Other Transport Equipment,exp,392404,600000,800000,850000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000101,Headquarters,2220200,Routine Maintenance - Other Assets,exp,781464,400000,750000,800000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000103,Information Communication Technology,2210300,"Domestic Travel and Subsistence, and Other Transportation Costs",exp,104063,480000,800000,1200000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000103,Information Communication Technology,2210700,Training Expenses,exp,0,1600000,2100000,2200000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000103,Information Communication Technology,2211300,Other Operating Expenses,exp,0,1200000,2000000,2700000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000103,Information Communication Technology,2220200,Routine Maintenance - Other Assets,exp,159375,600000,1300000,2250000,12,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000113,Joint Agriculture Sector Consultative &,2110100,Basic Salaries - Permanent Employees,exp,4251168,4089623,4212311,4338682,13,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000113,Joint Agriculture Sector Consultative &,2110300,Personal Allowance - Paid as Part of Salary,exp,2097939,2024762,2085506,2148072,13,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000113,Joint Agriculture Sector Consultative &,2210600,Rentals of Produced Assets,exp,2000000,2000000,2200000,2500000,13,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000113,Joint Agriculture Sector Consultative &,2210700,Training Expenses,exp,91150,0,0,0,13,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000113,Joint Agriculture Sector Consultative &,2210800,Hospitality Supplies and Services,exp,40455,80000,125000,150000,13,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,1169000100,Headquarters Administrative Services,1169000113,Joint Agriculture Sector Consultative &,2211100,Office and General Supplies and Services,exp,61031,80000,150000,200000,13,yes
