book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100200,Small Holder Irrigation Programme,17000000,108000000,95000000,13000000,0,0,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100400,Bura Irrigation Scheme,100000000,450000000,150000000,300000000,0,0,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100500,Land Reclamation (Land Degradation Assessment Program),0,20000000,0,20000000,100000000,200000000,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100600,Community Based Irrigation Projects,1752108452,1074400395,0,1074400395,1627175121,202349754,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100700,Galana Kulalu Irrigation development project,123636952,0,0,0,0,0,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100800,National expanded irrigation Programme,205384577,238389483,0,238389483,575397026,278000000,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104100900,Mwea Irrigation Development project (Thiba Dam and Irrigation Area),150000000,400000000,0,400000000,456000000,216000000,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104101000,Rwabura Irrigation Development Project,0,33000000,0,33000000,0,0,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104101300,Turkana Irrigation Development Project,80000000,80000000,0,80000000,125000000,182000000,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104101500,Lower Kuja Irrigation Scheme,80000000,120000000,0,120000000,187000000,273000000,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104101900,Micro Irrigation Programme for Schools 1624,409943676,135000000,0,135000000,0,0,21,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104102000,Drought Resilience Program in Northern Kenya,1380098785,1243000000,130030000,1112970000,1027000000,0,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104102500,"Spate Irrigation for Climate Resilience Samburu, Marsabit & Isiolo",0,0,0,0,150000000,180000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104102600,Household Irrigation Water Harvesting Project,323597000,15000000,0,15000000,25000000,19000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104102700,Water Security and Climate Adaptation in Mandera and Wajir Clusters,0,0,0,0,150000000,180000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104102800,Rehabilitation of strategic water Facilities,280000000,71000000,0,71000000,58695598,37000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104103000,Development of Large Scale Multi-Purpose Dams,190000000,170000000,0,170000000,180000000,193000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104103400,Monitoring and Evaluation of Projects,80000000,100000000,0,100000000,125000000,182000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104103600,NIA Drought Mitigation Projects,156976035,0,0,0,0,0,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104103700,Irrigation Sector Reform Programme,30000000,0,0,0,0,0,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104103900,Hola Irrigation Development Project - Phase,0,0,0,0,200000000,250000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104000,Suba cluster Irrigation Development,350000000,235000000,0,235000000,361000000,426000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104100,Lining of Canal - Mwea Irrigation Scheme Projects 1625,0,0,0,0,250000000,300000000,22,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104200,Upgrading of Ahero Irrigation Development Project,0,192000000,117000000,75000000,0,0,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104300,National Irrigation Authority Irrigation Projects,1377167534,175000000,0,175000000,487679389,270742434,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104500,Balich - Abdisamet Irrigation Project,100000000,70000000,0,70000000,141000000,0,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104600,Land Reclamation for Climate Resilience & Livelihood Enhancement,90000000,90000000,0,90000000,80000000,70000000,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104104700,Enhanced Water Productivity & Sustainable Irrigation Schemes,40000000,50000000,0,50000000,78000000,114000000,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118000,National Expanded Irrigation Programme II,1093424155,207559046,0,207559046,527723729,366000000,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118100,National Expanded Irrigation Programme III,110294385,83051076,0,83051076,208329137,129000000,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118200,Various Water Pans and Dams,50000000,270000000,0,270000000,0,0,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118300,Githiru Irrigation Water Project,35000000,0,0,0,0,0,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118400,Irrigation For Food Security-Rice Intensification Project,500000000,1000000000,0,1000000000,500000000,0,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118500,Community Based Irrigation Boreholes,64989120,134961083,0,134961083,0,0,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118800,Kenya Resilient sustainable Economy Irrigation Project (K-RISE) 1626,0,30000000,0,30000000,0,5265907812,23,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104118900,Galana Dam Irrigation Project,0,1000000000,0,1000000000,1000000000,1000000000,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104119100,Radat Dam Irrigation Project,0,70000000,0,70000000,100000000,100000000,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104120700,Community Based Irrigation Projects II,0,100000000,0,100000000,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104120800,Kyangwithya East -Kabaa Irrigation Project,0,15000000,0,15000000,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104120900,Rehabilitation and Maintenance of Public Schemes,0,258000000,258000000,0,258000000,258000000,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121000,Tunyo Chemoror Irrigation Project,10000000,0,0,0,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121100,Tharaka Nithi/Meru Irrigation Project,200000000,0,0,0,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121200,Rehabilitation of Strategic Water Facilities,100950930,0,0,0,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121300,Mobel Dam,30000000,50000000,0,50000000,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121400,Tendwo Dam,50000000,0,0,0,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121500,Wanifor Dam,70000000,0,0,0,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121600,Kapsinende Dam 1627,30000000,0,0,0,0,0,24,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121700,Chiracha Water Pan,30000000,0,0,0,0,0,25,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,head,1104121900,Wamoro Irrigation Project,65000000,0,0,0,0,0,25,yes
fy-2026-27-development-book-volume-iii-1104-2111,1104,State Department for Irrigation,vote_total,,TOTAL FOR VOTE,9755571601,8288361083,750030000,7538331083,8978000000,10692000000,25,yes
fy-2026-27-development-book-volume-iii-1104-2111,1109,State Department for Water & Sanitation,head,1109100200,Water & Sanitation Programme,0,0,0,0,50000000,275000000,136,yes
