book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,current,econ,2100000,Compensation to Employees,2268540451,2121219778,2184825972,2250463352,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,current,econ,2200000,Use of Goods and Services,3535823550,3151395447,3083367476,3212827334,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,current,econ,2600000,Current Transfers to Govt. Agencies,623249581,358323058,353593935,360349748,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,current,econ,3100000,Non Financial Assets,432529915,211678392,207012617,216159566,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,capital,econ,2100000,Compensation to Employees,24086322,24086322,24086322,24086322,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,capital,econ,2200000,Use of Goods and Services,217253158,167253158,167603158,167970658,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,450000000,550000000,566341522,663539848,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,capital,econ,3100000,Non Financial Assets,652669620,569860520,626968998,629403172,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,current,current_total,,Current Expenditure,6860143497,5842616675,5828800000,6039800000,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,capital,capital_total,,Capital Expenditure,1344009100,1311200000,1385000000,1485000000,40,yes
fy-2026-27-program-based-1011-2151,1011,Executive Office of the President,1011,Executive Office of the President,vote,total,total,,Total Expenditure,8204152597,7153816675,7213800000,7524800000,40,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,current,econ,2100000,Compensation to Employees,1111610694,1099000000,1127400000,1156700000,52,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,current,econ,2200000,Use of Goods and Services,3869584559,2417476161,2345901500,2451669477,52,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,current,econ,3100000,Non Financial Assets,86450000,59960000,62998500,67730523,52,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,capital,econ,3100000,Non Financial Assets,100000000,100000000,300000000,350000000,52,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,current,current_total,,Current Expenditure,5067645253,3576436161,3536300000,3676100000,52,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,capital,capital_total,,Capital Expenditure,100000000,100000000,300000000,350000000,52,yes
fy-2026-27-program-based-1011-2151,1012,Office of the Deputy President,1012,Office of the Deputy President,vote,total,total,,Total Expenditure,5167645253,3676436161,3836300000,4026100000,52,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,1013,Office of the Prime Cabinet Secretary,vote,current,econ,2100000,Compensation to Employees,200508609,300900000,279000000,287400000,60,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,1013,Office of the Prime Cabinet Secretary,vote,current,econ,2200000,Use of Goods and Services,402131928,522490954,558535000,575130400,60,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,1013,Office of the Prime Cabinet Secretary,vote,current,econ,3100000,Non Financial Assets,26300000,16400000,13365000,12769600,60,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,1013,Office of the Prime Cabinet Secretary,vote,current,current_total,,Current Expenditure,628940537,839790954,850900000,875300000,60,yes
fy-2026-27-program-based-1011-2151,1013,Office of the Prime Cabinet Secretary,1013,Office of the Prime Cabinet Secretary,vote,total,total,,Total Expenditure,628940537,839790954,850900000,875300000,60,yes
