book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011000100,Headquarters Administrative Services,3258500977,2554084362,15000000,2539084362,2584758772,2677658982,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011000700,State Corporations Advisory Committee,210876748,211115569,0,211115569,209461707,217397377,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011002800,Inspectorate of State Corporations,155592457,173134490,0,173134490,179738686,192951160,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011003200,National Counter Terrorism Centre,450000000,484800000,0,484800000,421800000,445020000,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011003500,Directorate of Remote Sensing and Surveys,155175653,172172931,0,172172931,174053618,179407760,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011005400,Betting Control and Licensing Board,105542846,0,0,0,0,0,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011005500,Office of the Government Printer,782596015,792237031,0,792237031,775426472,799388911,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011005600,Strategic Policy Advisory Services,158951506,97553439,0,97553439,103498298,105508196,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011005700,Leadership and Coordination,781962605,396953235,0,396953235,411094329,430734863,9,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011005900,Office of the Deputy Head of Public Service,231978944,210371725,0,210371725,215258797,221330549,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011006000,Government Delivery Services,296582802,191305500,0,191305500,196251699,201556021,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011006100,Programmes and Projects Coordination Directorate,45906564,0,0,0,0,0,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011006200,Project Monitoring Directorate,13226799,10866369,0,10866369,11456899,12238991,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011006300,Power of Mercy Secretariat,0,189698966,0,189698966,192406788,196257442,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,head,1011006400,Gambling Regulatory Authority,198249581,358323058,0,358323058,353593935,360349748,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1011,Executive Office of the President,vote_total,,TOTAL FOR VOTE,6845143497,5842616675,15000000,5827616675,5828800000,6039800000,10,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,head,1012000100,Headquarters and Administrative Services,977827950,969813783,3300000,966513783,1001245341,1031068939,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,head,1012000200,Deputy President Support Services,3537108759,2064104873,0,2064104873,2018256028,2102619390,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,head,1012000300,Communication and Press Services,185307920,176179581,0,176179581,196189624,187675650,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,head,1012000400,Co-ordination and Supervisory Services,154682105,160829905,0,160829905,114705107,139511643,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,head,1012000600,Government Strategic Priorities and Interventions,112390685,111160685,0,111160685,113823340,119270786,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,head,1012000800,International Development Partnerships Coordination,97027834,94347334,0,94347334,92080560,95953592,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1012,Office of the Deputy President,vote_total,,TOTAL FOR VOTE,5064345253,3576436161,3300000,3573136161,3536300000,3676100000,32,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1013,Office of the Prime Cabinet Secretary,head,1013000100,Headquarters Administration Services,209830323,431803480,0,431803480,438066064,456406659,41,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1013,Office of the Prime Cabinet Secretary,head,1013000800,Office of the Prime Cabinet Secretary,419110214,405325474,0,405325474,409701936,415581341,41,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1013,Office of the Prime Cabinet Secretary,head,1013001700,Central Planning & Project Monitoring Department,0,2662000,0,2662000,3132000,3312000,41,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1013,Office of the Prime Cabinet Secretary,vote_total,,TOTAL FOR VOTE,628940537,839790954,0,839790954,850900000,875300000,41,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,head,1014000100,Liaison and Parliamentary Affairs Division,67155880,40025211,0,40025211,52096478,53072519,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,head,1014000200,Legislative & Legal Affairs Division,42513183,42338365,0,42338365,47940311,45800013,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,head,1014000400,Policy Coordination and Strategy Division,72522816,51294941,0,51294941,61698311,62878473,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,head,1014000500,Policy Analysis and Advisory services Division,28289963,32273713,0,32273713,38083793,39932686,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,head,1014000600,Headquarters Administrative Services,214397688,179839230,0,179839230,205327029,218801630,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,head,1014001000,Central Project Planning and Monitoring Department (CPPMD),14657115,15429640,0,15429640,17854078,19414679,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1014,State Department for Parliamentary Affairs,vote_total,,TOTAL FOR VOTE,439536645,361201100,0,361201100,423000000,439900000,46,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1016,State Department for Cabinet Affairs,head,1016000100,Headquarters Administrative Services,154993634,170364960,0,170364960,196753879,202060739,54,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1016,State Department for Cabinet Affairs,head,1016000200,Evaluation and Communication,20702954,19690447,0,19690447,20401377,20860697,54,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1016,State Department for Cabinet Affairs,head,1016000300,Coordination of Programmes and Projects,10435809,13766160,0,13766160,15676910,16033739,54,yes
fy-2026-27-recurrent-volume-i-1011-1166-29-04-26,1016,State Department for Cabinet Affairs,head,1016000800,Public Sector Productivity,12860939,26517160,0,26517160,30453088,30809920,54,yes
