book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000100,Headquarters Administrative Services,244700406,242066406,0,242066406,257987062,271117483,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000200,Agriculture Attachees Offices,82249222,76302404,0,76302404,81201233,86371479,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000300,Central Planning and Project Monitoring Unit (CPPMU),14644992,15975273,0,15975273,17446932,18600338,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000500,Finance and Accounts Department,38457244,43596712,0,43596712,47769235,50082181,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000600,Policy and Agricultural Development Coordination Services,71209691,73859622,0,73859622,83069988,86529188,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000700,Pesticide Control Products Board (PCPB),222500000,670825000,455000000,215825000,835000000,920000000,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169000900,Kenya Plant Health Inspectorate Services (KEPHIS),0,2370200000,2370200000,0,2459990000,2710000000,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169001000,Headquarters Land and Crop Development Services,291687662,259037972,0,259037972,323213218,335664425,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169001300,Agriculture Engineering Services,29689517,29801742,0,29801742,31525261,32840352,9,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169001400,State Corporations Unit,5142648,5428158,0,5428158,6008804,6408669,10,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169001600,Agriculture Technology Development and Testing Stations,55892011,57436177,2000000,55436177,61408078,63579486,10,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169002200,Agricultural Information Resource Centre,37962484,45773240,13050000,32723240,48393954,51006769,10,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169002300,Kenya School of Agriculture,87666374,189814097,106620000,83194097,143337861,147122067,10,yes
fy-2026-27-recurrent-volume-ii-1169-2151-29-04-26,1169,State Department for Agriculture,head,1169002400,Bukura Agricultural College,208148717,501190001,282920000,218270001,656008600,789100000,10,yes
