county_code,county_name,paved_road_length_km,unpaved_road_length_km,total_road_length_km,paved_road_share_percent,source_year,data_status
1,Mombasa,811.137352,751.162311,1562.299663,51.9194,2023,modelled_research_estimate
2,Kwale,398.946864,5215.565591,5614.512455,7.1056,2023,modelled_research_estimate
3,Kilifi,691.080862,6009.722893,6700.803754,10.3134,2023,modelled_research_estimate
4,Tana River,370.493870,4887.790255,5258.284125,7.0459,2023,modelled_research_estimate
5,Lamu,89.843773,1541.789923,1631.633696,5.5064,2023,modelled_research_estimate
6,Taita Taveta,464.827269,10784.130259,11248.957528,4.1322,2023,modelled_research_estimate
7,Garissa,153.062656,8377.064417,8530.127073,1.7944,2023,modelled_research_estimate
8,Wajir,210.731221,10487.262726,10697.993947,1.9698,2023,modelled_research_estimate
9,Mandera,308.540672,4551.678961,4860.219632,6.3483,2023,modelled_research_estimate
10,Marsabit,901.259731,8919.368824,9820.628555,9.1772,2023,modelled_research_estimate
11,Isiolo,94.781269,3723.084874,3817.866143,2.4826,2023,modelled_research_estimate
12,Meru,1032.968404,7905.920096,8938.888500,11.5559,2023,modelled_research_estimate
13,Tharaka Nithi,294.642134,3504.111693,3798.753828,7.7563,2023,modelled_research_estimate
14,Embu,546.586063,8425.324461,8971.910524,6.0922,2023,modelled_research_estimate
15,Kitui,610.537814,15757.478827,16368.016641,3.7301,2023,modelled_research_estimate
16,Machakos,2103.876924,15403.460533,17507.337458,12.0171,2023,modelled_research_estimate
17,Makueni,563.198027,14044.402604,14607.600631,3.8555,2023,modelled_research_estimate
18,Nyandarua,709.331164,5978.680011,6688.011175,10.6060,2023,modelled_research_estimate
19,Nyeri,849.353074,6230.579874,7079.932948,11.9966,2023,modelled_research_estimate
20,Kirinyaga,653.183643,4142.607867,4795.791510,13.6199,2023,modelled_research_estimate
21,Muranga,995.004158,7208.599104,8203.603262,12.1289,2023,modelled_research_estimate
22,Kiambu,2746.423792,7975.214665,10721.638457,25.6157,2023,modelled_research_estimate
23,Turkana,996.370077,7864.460701,8860.830778,11.2447,2023,modelled_research_estimate
24,West Pokot,266.832547,3590.623305,3857.455853,6.9173,2023,modelled_research_estimate
25,Samburu,131.667446,3564.395247,3696.062692,3.5624,2023,modelled_research_estimate
26,Trans Nzoia,417.439588,4528.674113,4946.113701,8.4397,2023,modelled_research_estimate
27,Uasin Gishu,1245.005825,7658.656444,8903.662268,13.9831,2023,modelled_research_estimate
28,Elgeyo Marakwet,305.739256,2592.937218,2898.676474,10.5475,2023,modelled_research_estimate
29,Nandi,375.534772,5337.451406,5712.986178,6.5734,2023,modelled_research_estimate
30,Baringo,544.095290,6033.289763,6577.385053,8.2722,2023,modelled_research_estimate
31,Laikipia,654.146246,8206.576691,8860.722938,7.3825,2023,modelled_research_estimate
32,Nakuru,2862.396051,18051.099360,20913.495411,13.6868,2023,modelled_research_estimate
33,Narok,1062.509595,19020.660285,20083.169880,5.2905,2023,modelled_research_estimate
34,Kajiado,1798.670316,10708.819892,12507.490208,14.3807,2023,modelled_research_estimate
35,Kericho,539.136208,4431.674738,4970.810946,10.8460,2023,modelled_research_estimate
36,Bomet,534.138924,7214.413451,7748.552375,6.8934,2023,modelled_research_estimate
37,Kakamega,671.531163,10523.124596,11194.655759,5.9987,2023,modelled_research_estimate
38,Vihiga,204.010734,1566.582571,1770.593305,11.5222,2023,modelled_research_estimate
39,Bungoma,451.940849,6996.072678,7448.013527,6.0679,2023,modelled_research_estimate
40,Busia,269.447451,3412.210082,3681.657533,7.3186,2023,modelled_research_estimate
41,Siaya,666.087915,11965.635177,12631.723092,5.2731,2023,modelled_research_estimate
42,Kisumu,1100.575638,6653.732785,7754.308423,14.1931,2023,modelled_research_estimate
43,Homabay,484.044609,5852.212497,6336.257106,7.6393,2023,modelled_research_estimate
44,Migori,626.871292,11511.056761,12137.928053,5.1646,2023,modelled_research_estimate
45,Kisii,526.715159,4003.983929,4530.699089,11.6255,2023,modelled_research_estimate
46,Nyamira,234.809115,2575.347922,2810.157037,8.3557,2023,modelled_research_estimate
47,Nairobi,4699.200306,2655.248836,7354.449142,63.8960,2023,modelled_research_estimate
