county_code,county_name,rai_2018_percent,rai_2025_percent
1,Mombasa,95,99
2,Kwale,63,87
3,Kilifi,35,84
4,Tana River,11,46
5,Lamu,13,61
6,Taita Taveta,48,86
7,Garissa,24,34
8,Wajir,16,33
9,Mandera,20,37
10,Marsabit,26,46
11,Isiolo,22,45
12,Meru,72,92
13,Tharaka Nithi,76,90
14,Embu,77,97
15,Kitui,56,56
16,Machakos,82,90
17,Makueni,73,90
18,Nyandarua,97,99
19,Nyeri,96,99
20,Kirinyaga,99,100
21,Muranga,98,100
22,Kiambu,97,100
23,Turkana,17,25
24,West Pokot,56,63
25,Samburu,34,48
26,Trans Nzoia,64,95
27,Uasin Gishu,99,99
28,Elgeyo Marakwet,85,85
29,Nandi,90,86
30,Baringo,46,64
31,Laikipia,73,58
32,Nakuru,86,95
33,Narok,36,59
34,Kajiado,44,68
35,Kericho,92,96
36,Bomet,96,99
37,Kakamega,99,100
38,Vihiga,91,100
39,Bungoma,94,98
40,Busia,97,99
41,Siaya,98,98
42,Kisumu,97,100
43,Homabay,92,88
44,Migori,85,96
45,Kisii,100,100
46,Nyamira,99,100
47,Nairobi,95,100
