gid,countycode,countyname,shape_leng,shape_area,cnt_code,cnt__name,total_area,totalpop_2,pop_densit,ruralpop_2,population,rai,rai_1,cntycode,poor_pop,rai_2016,county_cod,county_nam,rural_popu,area_2km__,rural_po_1,area_rural,rai_2025
1,1,Mombasa,114856.739526,369248654.29,1,Mombasa,212.48,1184658,5575,95738,91064,0.95,95,001,321000,95,1,Mombasa,"206,758",193.34,208286,225.52,99
2,2,Kwale,484146.416563,9197887128.8,2,Kwale,7581,820199,108,671204,424529,0.63,63,002,389000,63,2,Kwale,"649,115",5980.72,742567,8788.38,87
3,3,Kilifi,528212.766423,13785975158.6,3,Kilifi,12755,1399975,110,1041030,361273,0.35,35,003,650000,35,3,Kilifi,"1,014,791",4702.92,1203123,13576.05,84
4,4,Tana River,1184200.31779,40753733897.2,4,Tana River,25640.1,303047,12,257281,29201,0.11,11,004,189000,11,4,Tana River,"178,934",5204.04,388782,40342.02,46
5,5,Lamu,413911.636127,8484036308.92,5,Lamu,6497.7,128144,20,102530,13772,0.13,13,005,36000,13,5,Lamu,"71,967",1025.15,117220,7732.72,61
6,6,Taita Taveta,623100.154514,17133647507.1,6,Taita Taveta,6470.8,358173,55,243782,117651,0.48,48,006,116000,48,6,Taita Taveta,"284,887",5293.89,331124,17075.63,86
7,7,Garissa,1166763.44857,43588272733.4,7,Garissa,44175,431950,9,262038,61781,0.24,24,007,283000,24,7,Garissa,"444,943",4060.02,1325366,43557.96,34
8,8,Wajir,1114709.48947,56657565440.5,8,Wajir,56685,888636,15.6767398783,846476,13740,0.02,16,008,287000,16,8,Wajir,"543,790",7274.73,1626013,56631.61,33
9,9,Mandera,813623.402978,25984281388.4,9,Mandera,25992,1377047,52.9796475839,1209405,48995,0.04,20,009,552000,20,9,Mandera,"932,995",5119.16,2508557,25961.57,37
10,10,Marsabit,1334691.63505,76026117536.2,10,Marsabit,70961,390882,5.50840602585,328636,16620,0.05,26,010,201000,26,10,Marsabit,"150,760",11615.57,325807,76012.9,46
11,11,Isiolo,1145910.42499,25380228814.7,11,Isiolo,25605,192368,7.51290763523,134536,47989,0.36,22,011,81000,22,11,Isiolo,"69,359",3174.24,153880,25372.03,45
12,12,Meru,497252.551133,6987764366.41,12,Meru,6936,1820794,262.51355248,1183278,927103,0.78,72,012,284000,72,12,Meru,"1,454,340",4076.05,1573777,6875.61,92
13,13,Tharaka Nithi,362298.055332,2578864654.03,13,Tharaka-Nithi,2638,490445,185.915466262,435714,332933,0.76,76,013,95000,76,13,Tharaka Nithi,"366,785",1565.54,405339,2501.12,90
14,14,Embu,387027.981089,2822794741.02,14,Embu,2818,693000,245.919091554,592377,510775,0.86,77,014,158000,77,14,Embu,"563,587",2332.29,580940,2735.57,97
