year,household_consumption_pctGDP,govt_consumption_pctGDP,gross_capital_formation_pctGDP,gross_fixed_capital_formation_pctGDP,exports_pctGDP,imports_pctGDP,net_exports_pctGDP,gdp_current_usd,gdp_current_lcu_kes,identity_sum_CGI_netX,statistical_discrepancy,imf_govt_share_of_fixed_investment,govt_investment_pctGDP,private_investment_pctGDP,govt_C_plus_I_pctGDP
1960,71.898,10.959,,,31.096,33.67,-2.574,791265459.493816,5651898400,,,,,,
1961,71.194,12.029,,,32.717,31.13,1.587,792959472.816211,5663998500,,,,,,
1962,71.934,11.6,,,32.038,30.125,1.913,868111400.75544,6200798200,,,,,,
1963,72.519,11.471,,,32.033,28.963,3.07,926589349.36426,6618498000,,,,,,
1964,68.909,13.849,13.064,12.419,33.389,29.212,4.177,998759334.496266,7133998100,100.0,-0.0,,,,
1965,70.062,14.843,14.394,12.823,31.397,30.696,0.701,997919320.832272,7127998000,100.0,-0.0,,,,
1966,66.122,13.729,18.61,14.715,32.412,30.873,1.539,1164519674.19213,8318001000,100.0,0.0,,,,
1967,66.606,14.13,20.173,18.673,28.464,29.373,-0.909,1232559506.9762,8804000000,100.0,-0.0,,,,
1968,64.64,15.207,20.049,18.518,29.401,29.297,0.103,1353295458.68182,9666400000,100.0,0.0,,,,
1969,62.753,16.435,19.372,17.99,29.529,28.089,1.44,1458379416.64823,10417000000,100.0,0.0,,,,
1970,60.184,16.257,24.397,19.682,29.826,30.664,-0.838,1603447358.62106,11453200000,100.0,0.0,0.2391,4.706,19.69,20.964
1971,64.653,17.98,23.916,22.704,28.639,35.189,-6.55,1778391288.64348,12702800000,100.0,0.0,0.2879,6.537,17.379,24.517
1972,62.171,17.632,22.317,21.759,26.588,28.727,-2.139,2107279157.08834,15052000000,99.981,0.019,0.264,5.744,16.573,23.376
1973,59.012,16.452,25.811,20.45,27.394,28.669,-1.275,2509001324.34591,17566000000,100.0,-0.0,0.2472,5.056,20.756,21.508
1974,64.429,17.036,25.756,19.119,33.676,40.898,-7.222,2969958812.01648,21214000000,99.999,0.001,0.2203,4.212,21.543,21.248
1975,68.221,18.325,18.14,20.213,29.824,34.512,-4.688,3259345083.26283,23934000000,99.998,0.002,0.216,4.367,13.773,22.692
1976,61.606,17.46,20.244,19.98,32.45,31.756,0.695,3474542391.69992,29072000000,100.005,-0.005,0.2302,4.599,15.646,22.059
1977,55.648,17.205,23.723,20.969,34.959,31.593,3.366,4494378764.32011,37198000000,99.942,0.058,0.2541,5.328,18.395,22.534
1978,60.496,19.515,29.789,25.076,28.936,38.688,-9.753,5303735110.55151,40994600000,100.047,-0.047,0.3105,7.787,22.002,27.302
1979,64.505,19.196,18.133,19.171,25.753,31.611,-5.858,6234391113.46434,46604000000,95.976,4.024,0.2936,5.629,12.504,24.825
1980,62.026,19.803,24.507,18.323,29.517,35.9,-6.383,7265315820.20777,53910002000,99.953,0.047,0.2891,5.297,19.211,25.1
1981,61.736,18.589,22.913,18.611,30.46,33.82,-3.36,6854491705.88377,62016000000,99.877,0.123,0.2836,5.278,17.636,23.866
1982,63.503,18.433,21.86,19.028,26.657,31.558,-4.901,6431579356.95926,70247800000,98.895,1.105,0.2717,5.169,16.691,23.602
1983,61.144,18.422,20.925,18.115,25.95,28.213,-2.263,5979198313.76093,79592200000,98.228,1.772,0.2295,4.157,16.768,22.579
1984,64.225,17.382,19.811,17.153,26.75,32.054,-5.304,6191437070.18411,89242600000,96.114,3.886,0.2276,3.904,15.907,21.286
1985,58.242,17.46,25.325,17.271,25.299,30.147,-4.848,6135034213.78998,100811600000,96.18,3.82,0.2312,3.993,21.332,21.453
1986,59.922,18.32,21.768,19.636,25.848,29.893,-4.045,7239126568.14092,117460200000,95.965,4.035,0.2488,4.886,16.882,23.206
1987,62.253,18.569,24.289,19.626,21.305,26.398,-5.092,7970820369.2949,131155800000,100.019,-0.019,0.2193,4.305,19.984,22.874
1988,61.542,18.406,25.449,20.447,22.371,27.604,-5.233,8355380879.12955,148283780000,100.164,-0.164,0.2487,5.085,20.364,23.491
1989,68.885,18.057,24.862,19.458,23.033,30.123,-7.09,8283114514.17081,170404100000,104.713,-4.713,0.2193,4.268,20.595,22.324
1990,62.39,18.642,24.164,20.648,25.693,31.328,-5.636,8572359038.16958,196433610000,99.56,0.44,0.2845,5.875,18.289,24.518
1991,63.514,16.771,20.971,19.03,27.042,28.556,-1.514,8151488783.19064,224230069300,99.742,0.258,0.2708,5.154,15.816,21.925
1992,67.304,15.682,16.921,16.581,26.26,26.67,-0.41,8209120763.04955,264471872700,99.497,0.503,0.2664,4.417,12.504,20.099
1993,63.126,14.48,17.61,16.938,38.904,33.955,4.949,5751786642.55871,333611292400,100.165,-0.165,0.2605,4.412,13.199,18.892
1994,62.416,15.155,19.293,18.873,37.04,34.226,2.814,7148148564.04239,400657837200,99.679,0.321,0.2881,5.438,13.855,20.593
1995,69.262,14.843,21.82,21.386,32.592,39.154,-6.562,9046320255.40507,465250740000,99.362,0.638,0.2224,4.755,17.065,19.598
1996,76.07,15.181,15.004,16.009,25.201,32.112,-6.911,12045865396.1323,687998000000,99.343,0.657,0.229,3.666,11.338,18.846
1997,77.18,15.536,15.141,15.388,22.686,31.371,-8.684,13115764358.2846,770313000000,99.172,0.828,0.2247,3.458,11.683,18.994
1998,77.694,16.25,16.693,15.675,20.169,28.728,-8.559,14093998843.7334,850808200000,102.078,-2.078,0.199,3.119,13.574,19.369
1999,78.58,15.753,15.521,15.591,20.833,27.36,-6.527,12896010459.3711,906927630000,103.328,-3.328,0.1851,2.886,12.635,18.639
2000,78.291,15.054,17.414,16.709,21.588,31.721,-10.134,12705350097.8044,967836930000,100.625,-0.625,0.1719,2.873,14.541,17.927
2001,79.57,15.973,18.79,18.152,22.932,33.015,-10.084,12986007425.8781,1020221000000,104.25,-4.25,0.1701,3.088,15.702,19.061
2002,78.614,17.078,15.138,17.237,24.898,30.275,-5.377,13147736898.5176,1035373000000,105.454,-5.454,0.1732,2.985,12.153,20.063
2003,77.119,18.131,16.482,15.838,24.087,30.045,-5.959,14904517649.8476,1131782000000,105.774,-5.774,0.1809,2.865,13.617,20.997
2004,75.525,17.86,16.962,16.259,26.61,32.867,-6.256,16095337093.8366,1274329000000,104.091,-4.091,0.1784,2.901,14.062,20.761
2005,75.399,17.38,17.65,18.699,28.509,35.97,-7.461,18737895512.7378,1415725000000,102.968,-2.968,0.1684,3.148,14.502,20.528
2006,76.232,14.347,18.634,19.424,22.985,32.252,-9.267,25825512284.2891,1862041000000,99.946,0.054,0.1485,2.884,15.749,17.231
2007,74.855,14.63,20.457,19.965,21.919,31.976,-10.057,31958195182.2406,2151349000000,99.884,0.116,0.1647,3.289,17.168,17.919
2008,75.328,15.674,19.613,18.865,22.674,34.905,-12.23,35895153327.8497,2483058000000,98.384,1.616,0.2221,4.19,15.423,19.864
